"","X","RECHARGE_VALUE","MIN_RECHARGE_AVG","P2_MADE_CALLS_DURATION","P2_PERC_DAYS_SOCIAL_NETWORK_OTT","PERC_SOCIAL_NETWORK_SESSIONS_IN_P1","PERC_INTERNET_SESSIONS_IN_P1","PERC_RECEIVED_CALLS_DURATION_IN_P2","PERC_P4_RECEIVED_CALLS_DURATION_BY_TOTAL","P23_PERC_DAYS_MADE_CALLS_OTT","WEEKDAY_PERC_INTERNET_MB","WEEKEND_HOLYDAY_PERC_SOCIAL_NETWORK_SESSIONS","WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION","AGE"
"2455",2915,510,32.5,212,100,24,24,57,6,43.37,6.24,21.06,0.8,33
"2456",2916,900,62.5,36,98.51,22,24,25,3,4.11,55.52,24.69,0.1,28
"2457",2917,41.9941436008014,78.336110218644,0,100,17,14,0,1,0,26.78,10.93609358339,-0.79331552300687,39
"2458",2918,200,100,340,86.54,10,10,39,4,31.94,49.19,18.51,0.02,30
"2459",2919,400,100,121,96.2,28,28,32,3,38.27,90.71,15.51,0.01,38
"2460",2920,610,45,222,56.72,13,13,32,10,73.33,8.75,23.8,0.43,20
"2461",2921,540,48.33,277,0,0,0,45,3,61.11,0,0,0,62
"2462",2922,400,100,372,68.18,24,24,25,4,59.74,22.99,22.95,0.72,45
"2463",2923,100,50,311,100,12,12,55,4,39.06,44.96,22.24,0.12,31
"2464",2925,-95.9149719052422,69.2722422653655,90,0,0,0,63,2,25,0,0,0,40
"2465",2926,100,100,34,81.82,4,7,75,4,65.22,42.95,25.78,1.06,51
"2466",2927,400,75,41,95.45,2,2,52,5,18.75,35.34,18.95,0,37
"2467",2928,130,40,14,0,100,100,17,17,89.8,0,14.29,0,25
"2468",2929,400,100,188,91.46,20,21,25,16,83.53,11.12,23.44,0.34,28
"2469",2930,80,20,48,0,0,0,65,3,0,0,0,0,49
"2470",2931,50,15,10,66.67,24,27,25,16,41.67,4.4,31.11,0,35
"2471",2932,500,50,14,96.23,38,37,38,22,19.67,22.88,22.56,3.29,16
"2472",2933,340,20,70,0,0,0,33,11,75.76,0,0,0,59
"2473",2934,400,100,261,86.75,16,17,47,9,80.23,21.81,23.75,0.17,44
"2474",2935,500,50,74,93.24,21,21,26,23,31.76,57.37,21.96,0.48,40
"2475",2936,840,18.89,301,98.78,19,17,36,15,46.51,22.48,22.36,4.5,16
"2476",2937,980,55.71,955,100,27,27,38,2,37.93,24.15,23.08,0.32,27
"2477",2938,300,100,269,62.65,34,31,40,8,82.56,66.57,18.12,0.02,41
"2478",2939,170,20,57,0,0,0,36,7,16.67,0,0,0,46
"2479",2940,170,10,262,100,20,18,46,3,26.44,17.5,14.07,0.08,25
"2480",2941,380,45,157,94.83,19,18,54,4,71.67,20.49,24.82,0.95,32
"2481",2943,400,100,189,100,19,25,46,7,63.22,25.61,19.77,0.02,28
"2482",2944,140,35,79,97.44,22,20,50,9,11.54,22.87,15.97,0.03,25
"2483",2946,330,40,12,100,25,22,38,4,28.74,78.6,8.34,0.03,53
"2484",2947,170,10,306,0,0,0,48,1,44.44,0,0,0,59
"2485",2948,500,50,86,60.49,18,21,38,7,54.76,48.23,14.62,0,55
"2486",2949,550,25,117,100,21,15,43,11,50,69.02,13.49,0.24,39
"2487",2950,100,100,57,33.33,23,26,37,13,88.46,100,12.5,0,28
"2488",2952,400,13.33,52,100,23,21,49,9,25.61,4.85,17.93,0.71,22
"2489",2953,300,20,116,100,9,9,33,4,19.35,76.46,29.04,0.12,26
"2490",2954,250,50,117,80.49,12,12,40,13,17.19,11.51,26.13,0,48
"2491",2955,240,16.67,204,0,0,0,56,5,30.77,0,0,0,39
"2492",2957,420,20,116,100,22,20,44,8,64.37,35.73,22.9,0.15,56
"2493",2958,510,50,220,92.41,7,10,26,6,81.18,23.19,24.24,0.32,31
"2494",2962,400,100,232,96.55,15,15,43,11,93.1,28.54,27.55,0.01,22
"2495",2963,370,30,276,100,22,24,40,9,4.6,5.22,24.97,0.18,34
"2496",2965,350,50,49,92.19,20,20,20,9,40.28,7.17,23.6,0.08,22
"2497",2966,350,50,91,56.41,16,16,46,7,33.33,47.17,20.11,0.05,30
"2498",2967,500,100,73,0,0,0,52,6,64.41,0,0,0,35
"2499",2968,400,50,589,96.15,13,13,48,4,74.07,6.47,27.09,0.09,26
"2500",2969,900,83.33,260,92.94,14,13,35,8,58.14,35.5,22.98,1.12,20
"2501",2970,550,66.67,185,96.3,22,22,44,5,63.53,14.06,22.86,0.08,43
"2502",2971,550,50,639,100,25,22,33,3,67.82,18.29,11.21,0.07,41
"2503",2972,70,20,2,60,38,35,23,20,0,100,15.56,0,33
"2504",2973,400,50,83,97.59,21,22,56,9,41.67,15.98,22.08,0.83,19
"2505",2974,100,20,38,85.71,16,16,46,8,36.36,26.42,25.25,0.03,26
"2506",2975,730,46,51,97.62,12,13,19,21,80.46,18.56,24.16,0.03,18
"2507",2976,220,20,60,80,23,22,34,15,16.22,42.65,25.81,0.04,23
"2508",2977,400,100,291,79.27,21,22,64,3,84.52,78.15,15.74,0,40
"2509",2978,300,100,45,95.95,26,25,22,14,22.97,29.22,21.95,0.01,29
"2510",2979,200,50,38,97.92,15,17,30,18,42.86,31.98,22.61,0.04,29
"2511",2980,200,50,1019,0,0,0,38,3,84.21,0,0,0,55
"2512",2981,50,50,22,100,17,15,32,33,59.09,38.58,19.13,0.09,23
"2513",2983,670,47.5,973,100,11,12,42,8,81.61,7.98,23.08,5.51,27
"2514",2984,440,60,82,95.45,4,4,26,2,7.5,6.47,27.04,0.02,39
"2515",2986,470,42.5,307,86.9,22,23,43,3,78.82,21.19,21.84,0.86,47
"2516",2987,370,23.33,149,69.7,5,5,34,5,50,82.96,18.75,0,56
"2517",2988,360,44.29,142,25.93,23,23,41,7,96.77,95.28,20,0,52
"2518",2989,1400,100,1044,100,17,18,32,1,80.46,16.35,26.53,1.75,42
"2519",2990,600,30,33,50,22,23,5,16,38.89,59.4,23.33,0,13
"2520",2991,100,100,199,66.67,48,41,32,7,24,62.15,20.86,0,64
"2521",2992,400,25,79,0,0,0,56,5,56.25,0,0,0,34
"2522",2993,80,20,2,60,0,0,42,0,33.33,100,0,0.158210029780358,35
"2523",2994,530,45,36,16.92,24,19,32,18,76.62,78.07,18.28,0.04,44
"2524",2995,290,35,437,88.46,23,21,32,5,35.71,9.42,21,0.06,32
"2525",2997,60,20,1,0,0,0,50,17,22.22,0,0,0.159138773760835,29
"2526",2998,1000,50,443,96.39,15,19,47,7,34.12,42.89,19.09,0.68,52
"2527",2999,220,20,388,100,25,25,24,5,45.98,13.37,16.7,0,19
"2528",3001,550,50,184,0,0,0,36,12,76.39,0,0,0,52
"2529",3002,110,10,32,100,2,1,49,5,0,13.74,17.5,0.14,42
"2530",3003,500,100,211,100,26,26,30,7,43.68,21.52,29.27,0.04,39
"2531",3004,50,50,7,50,33,40,60,15,100,51.19,33.3737238312717,-0.174905877415907,41
"2532",3006,650,41.67,513,94.05,11,10,62,3,71.76,18.98,29.23,0,46
"2533",3007,320,60,212,77.94,15,18,28,4,44.3,26.75,24.03,0.05,26
"2534",3008,550,50,117,95.4,24,24,46,5,59.77,20.48,24.29,0,30
"2535",3009,830,34.29,162,95.77,18,20,37,14,87.5,32.89,28.35,0.02,38
"2536",3010,400,100,52,96.36,20,20,69,2,29.31,23.11,24,0.12,52
"2537",3011,50,50,295,100,16,17,36,6,52.63,60.34,24.83,0.14,33
"2538",3012,500,100,309,72,17,17,51,7,86.08,14.42,23.93,0.2,24
"2539",3013,400,100,112,97.06,11,11,44,4,35.37,52.23,27.4,0.04,26
"2540",3014,12.1814167332185,31.6006661938436,2,0,0,0,15,32,0,0,0,0.605472135898181,16
"2541",3015,300,10,112,97.65,8,9,27,4,21.84,14.05,21.18,1.28,18
"2542",3016,80,10,71,8.33,0,0,66,1,45.83,0,16.67,0,35
"2543",3017,300,50,208,87.5,15,15,38,4,24,5.86,30.91,0.55,19
"2544",3018,270,42.5,16,100,17,19,28,9,14.58,84.45,14.78,0.05,23
"2545",3019,400,100,1443,84.88,22,22,42,4,75.58,7.85,22.58,0.14,25
"2546",3020,120,23.33,407,100,19,20,34,3,3.57,8.72,21.7,0.09,19
"2547",3023,420,10.91,359,95.06,24,23,35,4,22.62,17.32,17.68,0.42,30
"2548",3024,550,50,51,94.74,23,23,37,8,67.53,16.57,21.73,0.54,50
"2549",3025,100,100,292,50,23,23,36,5,45.1,91.73,16.67,0,55
"2550",3027,100,100,249,98.7,25,25,42,2,14.1,16.44,20.56,0.06,30
"2551",3028,200,50,859,15.25,9,9,41,3,98.36,77.81,22.86,0.04,41
"2552",3030,270,60,92,76.09,23,22,33,11,46.67,19.86,23.52,0.34,25
"2553",3031,380,40,389,100,14,15,45,7,3.17,3.77,33.57,0.57,28
"2554",3033,400,100,708,98.85,13,14,51,4,94.25,26.42,28.49,0.34,45
"2555",3034,550,50,67,94.05,8,10,18,17,73.26,19.39,22.03,0.02,25
"2556",3035,200,100,212,18.52,11,25,38,3,82.86,61.19,19.23,0,46
"2557",3036,30,30,2,0,0,0,23,33,0,0,0,0,24
"2558",3037,120,20,145,0,0,0,64,2,20,0,0,0,60
"2559",3038,700,50,78,98.82,18,19,34,23,40.23,10.66,28.08,0.05,21
"2560",3039,350,10,32,84.62,7,5,42,18,10.45,29.23,12.79,0.51,40
"2561",3040,80,10,139,98.61,12,11,64,4,2.47,4.34,13.93,0.25,40
"2562",3041,400,100,175,82.5,14,14,34,7,69.41,11.66,22.78,0.01,49
"2563",3042,80,10,60,0,0,0,18,9,52.94,0,0,0,16
"2564",3043,550,50,1080,78.21,14,14,43,6,85.54,10.44,24.71,0.06,46
"2565",3045,500,100,94,98.77,14,13,48,12,52.87,79.89,15.99,0.34,33
"2566",3046,380,28.33,199,100,23,23,39,8,80.88,7.08,22.49,1.29,52
"2567",3047,50,50,18,100,28,23,14,6,33.33,99.99,16.22,0,22
"2568",3048,120,20,989,0,0,0,55,3,85,0,0,0,51
"2569",3049,363.49792246065,89.8100938415675,1308.93239968504,129.55406409795,0,0,0,0,0,0,19.8000171266992,-0.0312192904983099,58
"2570",3052,50,20,16,20,0,0,35,12,28.57,0,16.67,0,21
"2571",3053,670,73.33,340,94.81,19,24,41,6,68.35,27.71,22.6,0.52,23
"2572",3055,560,76.67,51,48.94,10,11,44,13,59.26,4.54,21.2,0,33
"2573",3056,820,45,47,95.35,25,26,38,4,45.98,16.53,22.85,0.27,23
"2574",3057,900,50,105,83.05,17,15,38,7,25.35,3.61,30.65,0.01,18
"2575",3058,200,50,181,37.14,16,15,54,7,44.44,9.59,15.15,0.04,19
"2576",3059,550,50,129,95.12,7,6,26,14,58.54,86.08,17.07,0.04,50
"2577",3061,480,40,11,100,13,14,60,4,1.32,87.73,18.06,0.05,29
"2578",3063,30,30,45,100,8,13,37,2,16.67,45.73,10,0.03,40
"2579",3064,120,20,19,91.67,21,21,30,12,27.27,97.72,16.49,0.11,37
"2580",3065,270,35,106,64.29,14,12,46,6,69.7,44.68,23.19,0.29,38
"2581",3066,100,50,63,78.26,26,30,53,8,25.45,99.94,15.42,0,27
"2582",3068,40,20,10,100,0,0,37,18,0,0,16.67,0,32
"2583",3069,410,36.67,113,91.3,16,18,32,10,34.62,9.16,26.83,0.01,30
"2584",3070,150,20,55,50,14,15,43,6,44.44,61.81,23.4,0,41
"2585",3071,250,50,167,53.57,26,23,37,3,21.43,44.93,17.17,0,59
"2586",3072,400,100,168,77.92,9,7,34,10,78.57,21.44,18.61,1.64,25
"2587",3073,20,10,125,0,0,0,32,12,14.29,0,0,0,45
"2588",3074,80,40,3,100,10,6,40,29,20,28.9,26.23,0.35,18
"2589",3075,400,33.33,152,78.72,12,10,34,11,46.55,9.25,23.03,39.59,17
"2590",3076,130,43.33,24,100,25,23,57,5,77.78,39.42,19.14,0.13,29
"2591",3077,181.318599543638,37.0153858857988,3,75,22,20,33,4,25,100,15.09,0,13
"2592",3078,300,100,273,67.35,5,6,35,13,54.69,23.03,27.44,1.29,19
"2593",3079,640,30,263,78.67,10,9,35,11,67.9,33.36,22.34,3.24,16
"2594",3080,130,43.33,28,92.86,22,22,40,9,35.56,9.14,22.65,0.02,24
"2595",3081,340,26,220,0,0,0,49,8,73.33,0,0,0,50
"2596",3083,1068.3,50,899,100,22,22,38,3,13.79,94,17.91,0.3,32
"2597",3084,153.210079669098,33.6568579273067,7,0,0,0,9,18,44.44,0,0,0.183760838008939,33
"2598",3087,400,100,61,0,0,0,62,7,31.43,100,0,0,63
"2599",3088,160,20,85,52.63,6,7,39,5,15.15,67.03,16.9,0.58,22
"2600",3089,300,100,1307,94.12,23,23,45,2,91.95,15.06,23.42,0.35,33
"2601",3090,520,47.5,136,98.81,22,21,45,7,59.3,29.69,22.53,0.19,36
"2602",3091,300,100,30,0,0,0,19,6,82.76,100,0,0,40
"2603",3092,300,50,59,100,21,20,59,4,2.9,58.52,17.98,0.02,29
"2604",3093,210,20,130,11.54,11,10,58,6,54.84,49.11,19.15,0.1,40
"2605",3094,80,30,0,0,0,0,14,5,71.43,0,0,0,44
"2606",3095,50,10,194,90.32,25,26,19,11,4.88,100,15.98,0,21
"2607",3098,140,20,0,100,25,23,19,9,3.45,81.8,14.96,0,50
"2608",3099,420,40,153,97.44,12,11,65,5,60.49,7.22,27.42,0.5,20
"2609",3100,250,50,345,74,7,10,48,7,32.26,7.76,19.3,1.32,38
"2610",3101,60,10,8,81.58,8,6,50,16,14,90.16,14.15,0.01,55
"2611",3102,-25.2605849678218,-6.90969888577942,181,100,0,0,45,11,0,0,16.67,0,23
"2612",3103,320,60,345,73.33,1,1,47,5,72.22,21.27,23.94,0.16,43
"2613",3104,483.119776187163,72.5356215935419,-46.6812403504569,74.1732201044633,0,0,0,0,52.8632142954387,-13.8058974502026,16.67,0,23
"2614",3107,500,100,360,100,23,22,31,5,72.41,9.45,22.2,0.24,29
"2615",3108,400,50,213,16.22,9,8,54,4,73.58,53.99,14.29,0,52
"2616",3110,500,50,34,47.62,11,11,25,14,36.67,13.07,18.69,1.18,18
"2617",3111,16.4426643951896,46.3741906245926,1413,95.83,11,12,44,0,6.67,80.56,19.28,0,34
"2618",3112,300,100,964,89.29,18,18,44,3,93.02,37.8,30.65,0,50
"2619",3114,300,100,207,72.34,8,9,35,9,73.21,26.73,22.94,1.39,16
"2620",3116,50,50,5,95.45,4,5,12,18,7.69,33.19,25.64,0.76,21
"2621",3117,560,42,177,58.82,17,19,40,11,68.49,23.42,42.57,0,22
"2622",3118,280,40,120,100,16,20,42,7,53.52,26.32,29.85,0.04,45
"2623",3119,600,100,880,98.85,13,12,36,11,100,15.62,23.86,1.29,35
"2624",3120,400,75,156,89.61,24,29,28,4,77.01,75.86,20.79,0.01,51
"2625",3121,550,36,374,46.51,9,8,42,3,66.07,41.22,22.46,0.03,54
"2626",3122,160,53.33,97,97.3,25,28,29,7,55.26,5.68,18.57,0,29
"2627",3123,90,20,238,100,25,22,30,5,18.18,7.74,18.99,0.15,40
"2628",3124,200,50,57,20,16,21,41,7,54.84,97.46,14.71,0,50
"2629",3125,20,10,322,100,16,15,45,10,0,38.58,15.52,0.04,16
"2630",3126,200,50,138,84.09,9,8,20,7,46.94,14.56,26.81,0.26,18
"2631",3127,350,50,19,100,20,19,36,25,20.41,14.82,24.81,0.17,20
"2632",3128,390,20,6,87.5,17,19,21,31,25.53,58.38,20.74,1.03,18
"2633",3129,210,10,91,98.75,24,17,42,5,18.29,8.29,8.74,0.25,19
"2634",3130,30,30,303,0,0,0,41,4,53.85,7.09,0,0,39
"2635",3131,13.8569890879671,39.895942334844,98,100,19,19,33,4,0,0,16.67,0,20
"2636",3132,650,75,629,92.86,24,23,28,7,89.53,13.24,24.72,0.05,21
"2637",3133,152.580151594065,-1.56486921850531,268.067767681483,75.6582919198231,0,0,0,14,0,0,16.67,0,28
"2638",3134,950,75,510,100,23,24,47,1,2.33,8.79,23.13,0.19,53
"2639",3136,500,100,327,100,16,15,35,13,82.76,26.27,28.07,0.43,30
"2640",3137,300,100,245,39.06,19,20,41,9,82.43,13.37,21.46,0.19,23
"2641",3138,600,200,440,81.01,13,12,48,6,88.1,50.08,21.62,0.06,30
"2642",3139,640,45,424,96.39,12,12,42,6,73.26,17.04,22.87,0.14,31
"2643",3142,250,22.5,42,87.23,6,8,42,5,18.87,20.49,31.1,0.29,22
"2644",3143,110,10,30,90.2,15,11,31,9,11.11,5.71,16.13,1.08,30
"2645",3144,300,50,483,13.73,9,6,57,3,78.57,12.44,16.67,0,25
"2646",3145,300,100,68,80.56,25,25,46,7,35,83.24,24.12,0.02,52
"2647",3146,490,28,42,72.73,13,14,35,14,62.07,50.96,19.74,0.09,29
"2648",3147,250,50,375,82.22,9,8,41,5,74.51,28.13,24.74,0.5,29
"2649",3148,700,100,98,100,22,21,38,8,22.35,23.15,17.8,0.68,45
"2650",3149,300,50,272,93.24,22,22,56,3,62.67,23.2,23.7,0.5,50
"2651",3150,520,10,740,100,11,12,42,1,16.28,33.02,26.74,0.1,28
"2652",3151,430,32.86,426,24.53,21,22,44,8,62.9,31.63,22.14,0.17,22
"2653",3152,250,50,147,100,12,7,29,11,21.43,19.66,11.19,0.64,18
"2654",3153,580,30,422,23.08,21,21,27,5,62.71,44.04,22.5,0.01,24
"2655",3154,450,75,84,0,57,44,47,11,67.07,97.46,0,0,64
"2656",3156,450,100,0,100,27,28,0,0,0,24.87,27.4,0,29
"2657",3157,40,20,44,100,19,19,47,2,7.69,22.43,16.67,0,22
"2658",3158,200,100,498,100,5,6,31,5,50.57,11.97,25.79,0.03,44
"2659",3159,640,38,12,96.05,19,19,17,4,31.71,14.41,26.68,0.23,13
"2660",3160,550,50,290,96.39,20,22,44,7,75.58,29.58,26.82,0.42,29
"2661",3161,200,10,28,33.33,55,49,21,7,33.33,81.5,19.35,0,62
"2662",3162,500,100,59,100,7,7,42,5,55.7,49.54,23.68,0.02,50
"2663",3163,-44.7068572744721,-19.572384766462,123,0,0,0,27,4,0,0,0,0,14
"2664",3164,270,35,48,23.08,15,17,21,19,48.94,61.93,15.52,0,46
"2665",3165,550,20.83,178,100,23,22,41,8,40.23,37.82,15.13,0.04,56
"2666",3166,400,50,580,100,22,22,62,3,43.68,12.79,22.49,0.02,32
"2667",3167,600,50,222,67.47,3,3,44,7,88.24,12.31,21.9,0.15,37
"2668",3168,250,50,307,64.58,11,12,45,10,49.18,12.88,22.73,0.01,39
"2669",3170,160,53.33,1431,72.22,15,15,34,3,72,76.88,20.96,0.19,24
"2670",3171,-98.825062813463,24.1798567679731,0,0,0,0,50,0,0,0,0.68339130919185,-0.43302279228649,49
"2671",3174,230,65,74,9.09,25,18,55,6,67.65,100,21.74,0,27
"2672",3175,100,50,81,94.59,21,25,40,6,34.21,42.99,31.9,4.09,15
"2673",3176,260,10,1019,98.15,4,3,34,4,11.39,34.09,19.58,0.35,20
"2674",3177,450,75,124,28.85,8,7,52,4,48.44,43.49,22.58,0,53
"2675",3178,400,100,67,100,15,17,34,15,50.62,10.35,27.46,0.07,25
"2676",3179,400,50,107,100,12,12,62,4,6.67,3.44,28.87,0.01,31
"2677",3181,200,50,8,87.5,12,12,55,13,36,9.96,20.48,0,35
"2678",3182,450,75,493,97.7,13,13,37,10,94.25,27.63,23.11,1.15,23
"2679",3183,400,100,206,49.23,16,16,47,8,65,19.13,23.44,0.01,45
"2680",3185,140,20,55,60.71,11,11,54,5,19.44,100,15,0,23
"2681",3186,90,13.33,151,83.33,17,26,69,1,30.77,68.38,6.84,1.12,64
"2682",3188,500,50,28,65.28,1,1,39,13,79.22,11.84,24.27,0.05,23
"2683",3189,74.2251412427089,55.0393810858912,597.690875218426,-11.8412366241857,0,0,0,0,100,-15.7592201260187,0,-0.59572518633778,42
"2684",3190,150,30,89,19.05,11,8,40,9,52,20.15,21.88,0,29
"2685",3192,150,50,288,0,0,0,40,4,40,0,0,0,60
"2686",3193,670,30,317,60,5,5,30,7,49.37,39.02,24.54,0.26,42
"2687",3194,-433.269463788626,26.3319726653167,2,100,0,0,24,20,0,0,0,0,17
"2688",3195,2350,100,930,100,24,23,40,9,88.51,6.01,22.37,0.89,42
"2689",3196,43.4667456595204,47.6770209567266,104,61.54,3,6,50,7,4,100,16.22,0,34
"2690",3197,60,30,16,100,20,26,18,10,26.67,77.8,20.17,0.01,30
"2691",3198,330,30,24,100,21,22,25,21,5.88,61.73,26.92,0.07,44
"2692",3199,50,50,8,80,14,15,26,10,16.67,0,25,0,20
"2693",3200,130,40,391,100,21,26,37,2,0,1.98,25,2.82,20
"2694",3201,200,100,140,91.67,19,19,28,9,75.47,18.12,22.71,2.52,22
"2695",3202,230,65,243,98.75,32,34,30,11,46.91,49.55,28.22,0.03,37
"2696",3203,520,60,155,98.84,22,22,44,5,95.4,41.27,19.91,1.31,35
"2697",3205,300,100,28,83.05,5,4,50,8,35.38,45.31,11.95,0.05,57
"2698",3206,230,10,120,100,21,23,29,7,36.78,9.32,14.45,0.21,30
"2699",3207,400,100,55,94.12,23,14,30,14,35.63,73.63,9.77,0.07,60
"2700",3208,120,20,125,100,17,17,34,6,8.57,23.47,18.92,0.03,30
"2701",3209,400,50,229,93.51,13,13,57,2,77.22,13.52,28.82,0.31,44
"2702",3210,230,40,127,85.71,4,4,45,13,52.54,63.8,28.05,1.94,14
"2703",3211,300,50,971,100,11,11,40,4,38.24,48.07,29.67,0.05,23
"2704",3212,200,100,25,91.84,20,20,35,10,53.7,8.27,20.51,0.46,23
"2705",3214,360,20,34,98.68,20,16,47,13,1.25,6.42,16.97,0.58,25
"2706",3215,520,42.5,284,1.64,0,0,38,15,65.22,0,16.67,0,52
"2707",3217,400,100,120,92.77,9,11,62,3,41.67,46.58,22.4,0.04,45
"2708",3219,610,40,107,7.27,17,18,58,6,40.91,85.26,10.71,0.01,60
"2709",3220,300,100,13,50.82,7,7,47,11,31.88,64.43,22.79,0.03,37
"2710",3221,765.287518338696,89.90937954727,-276.729059767556,50.9509205422356,0,0,0,0,76.2740728341115,0,24.6533691552773,0.540382033455452,25
"2711",3222,280,43.33,187,0,0,0,42,7,56.14,0,0,0,40
"2712",3223,300,50,0,100,9,10,7,2,5,94.9,25.41,0.05,27
"2713",3224,550,40,572,100,25,23,43,5,46.51,6.2,24.67,0.12,27
"2714",3225,40,20,578,100,17,19,45,6,20,41.66,16.67,0.13,25
"2715",3226,50,50,16,97.67,6,5,22,12,4.05,2.22,18.51,0.03,15
"2716",3227,400,100,17,0,0,0,62,2,26.32,0,0,0,47
"2717",3228,300,50,558,100,20,22,57,2,1.61,1.95,24.84,0.19,33
"2718",3230,100,50,102,92.5,10,12,33,7,27.08,12.63,21.83,0.01,25
"2719",3231,100,100,151,100,21,21,53,3,0,0,16.67,0,22
"2720",3235,170,56.67,847,75,16,19,47,2,76,16.58,18.12,0.08,39
"2721",3236,150,50,191,92.65,19,20,38,4,15.85,6.77,18.49,0,29
"2722",3237,400,100,111,37.7,23,23,32,9,86.25,9.24,27.59,0.01,44
"2723",3239,40,20,115,46.15,8,8,31,5,5.56,7.9,16.67,0,37
"2724",3240,200,100,12,95,28,28,15,9,17.02,41.45,23.29,0.05,36
"2725",3241,400,75,717,82.67,16,16,53,6,90.91,32.18,20.63,0.43,25
"2726",3242,170,35,214,39.68,22,22,43,13,83.82,28.42,21.01,0.15,50
"2727",3243,270,20,4,94.74,12,14,55,8,5,16.22,17.09,0,35
"2728",3244,170,13.33,180,100,14,13,53,7,6.98,59.66,21.1,0.01,26
"2729",3245,140,20,260,100,18,14,36,2,2.5,50.35,12.78,0.02,47
"2730",3247,750,31.25,89,100,19,20,67,6,72.41,7.32,22.47,0.23,37
"2731",3248,300,30,343,42.42,25,24,28,6,69.23,75.99,26.29,0.05,26
"2732",3249,400,100,209,10.17,30,26,41,12,80.26,93.02,16.67,0,44
"2733",3250,200,100,369,55.56,23,24,33,3,82.98,35.09,25.38,0.13,25
"2734",3251,380,43.33,264,83.33,15,14,22,6,60,42.31,22.06,0.66,22
"2735",3252,50,50,121,0,0,0,26,6,33.33,0,0,0,36
"2736",3254,600,50,271,75,10,11,34,8,80.95,7.97,27.53,0.28,24
"2737",3256,500,83.33,99,91.23,12,12,60,4,35.48,24.21,22.62,0.03,37
"2738",3257,580,46,408,0,0,0,40,8,84.72,0,0,0,47
"2739",3259,820,84,213,95.18,17,20,35,6,68.6,14.27,23.24,0.25,22
"2740",3260,420,35,12,0,0,0,44,11,65.71,0,0,0,45
"2741",3261,-168.622145387335,-22.5752884378467,1856,6.9,0,0,62,2,19.05,0,16.67,0,29
"2742",3262,450,50,299,94.52,5,5,48,5,72,10.78,29.29,0.04,34
"2743",3265,-151.188585756276,3.12813687065976,0,100,14,9,8,53,0,100,14.39,0,26
"2744",3266,480,65,537,68.92,8,8,43,5,85.37,38.1,24.76,0.38,32
"2745",3267,80,10,106,100,24,24,34,2,0,16.96,17.47,0.06,21
"2746",3268,140,30,1025,98.84,20,23,42,2,6.98,1.65,27.29,0,26
"2747",3269,660,24,373,22.37,19,15,42,12,92.59,99.99,16,0,49
"2748",3270,150,50,168,0,0,0,42,3,58.14,0,0,0,56
"2749",3272,20,20,41,0,0,0,62,6,50,0,0,0,27
"2750",3274,380,20,233,100,24,23,30,5,26.74,35.17,19.54,0.15,29
"2751",3275,260,28,178,30.3,4,5,50,3,43.18,51.36,17.27,0.02,30
"2752",3276,710,26.67,1221,20,12,11,47,5,81.25,16.14,24.24,0.03,37
"2753",3278,1090,65,75,100,18,18,55,5,57.47,83.55,19.01,0.01,50
"2754",3279,39.1140732127772,57.9760234109271,46,100,20,21,36,2,6.82,69.76,29.63,0.03,30
"2755",3280,870,45.56,45,95.24,26,27,26,15,30.77,12.52,28.4,9.71,22
"2756",3281,300,50,88,83.87,16,16,27,11,25.58,12.78,21.05,0.02,27
"2757",3282,-232.300950048898,103.771960435328,425.174895612204,40.0132194210126,0,0,0,0,28.980687598956,0,9.17875357853642,-1.10423183722997,47
"2758",3283,500,100,82,92.31,12,11,20,6,48.89,23.55,23.96,0.28,33
"2759",3284,400,100,22,91.36,15,15,48,11,50,35.37,19.73,0.1,35
"2760",3285,80,20,34,82.35,9,9,21,16,21.43,24.23,16.67,0,18
"2761",3286,460,65,196,97.62,20,16,53,10,63.95,10.71,22.81,0.35,48
"2762",3288,120,35,19,0,0,0,83,6,57.14,0,0,0,29
"2763",3289,450,66.67,909,83.33,9,10,42,5,78.46,67.22,24.9,0.1,25
"2764",3290,200,100,42,100,19,20,47,6,10.96,84.27,21.37,0.01,35
"2765",3292,650,62.5,241,100,23,23,42,3,68.97,22.26,26.01,1.49,22
"2766",3293,200,100,158,93.75,9,9,34,6,37.5,28,23.91,1.31,17
"2767",3295,100,100,268,56.41,15,17,42,6,58.7,20.84,20.78,2.31,53
"2768",3296,500,100,18,96.61,6,6,30,11,39.74,16.83,25.45,0.1,24
"2769",3297,150,10,101,85,3,3,39,5,21.74,34.35,23.2,0.02,23
"2770",3298,300,100,144,100,21,23,48,9,30.23,20.29,15.75,0.12,58
"2771",3299,440,20,610,32.26,17,18,41,3,50,26.36,23.33,0,41
"2772",3301,50,50,52,0,0,0,46,25,0,0,0,0,27
"2773",3302,630,42,542,97.7,23,22,55,5,97.7,5.7,22.66,0.19,40
"2774",3304,160,20,141,0,0,0,37,4,21.43,0,0,0,58
"2775",3305,457.756514972291,82.5489866027056,469.436842579295,110.767348922284,50,50,0,0,39.6440647161622,0,14.5982783365024,0.230896771054637,38
"2776",3306,530,45,67,92.96,8,7,31,4,31.71,10.37,29.91,0.46,14
"2777",3307,30,30,190,71.43,6,9,53,6,40,50.64,16.67,0,37
"2778",3308,460,17.5,272,100,24,25,33,12,11.49,14.21,15.36,3.22,19
