"","X","RECHARGE_VALUE","MIN_RECHARGE_AVG","P2_MADE_CALLS_DURATION","P2_PERC_DAYS_SOCIAL_NETWORK_OTT","PERC_SOCIAL_NETWORK_SESSIONS_IN_P1","PERC_INTERNET_SESSIONS_IN_P1","PERC_RECEIVED_CALLS_DURATION_IN_P2","PERC_P4_RECEIVED_CALLS_DURATION_BY_TOTAL","P23_PERC_DAYS_MADE_CALLS_OTT","WEEKDAY_PERC_INTERNET_MB","WEEKEND_HOLYDAY_PERC_SOCIAL_NETWORK_SESSIONS","WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION","AGE"
"6688",8163,350,50,120,0,0,0,50,3,85.71,0,0,0,55
"6689",8165,500,100,8,98.84,6,6,31,6,41.38,22.84,28.5,0,34
"6690",8166,440,60,627,98.85,24,23,44,5,81.61,9.85,21.97,0.09,33
"6691",8167,249.997020826558,5.99778493750179,41,66.67,25,22,56,7,0,100,15.38,0,18
"6692",8170,550,50,49,70.83,4,4,24,7,38.6,39.89,19.57,0.49,16
"6693",8171,40,20,11,0,0,0,16,37,0,0,0,0,47
"6694",8173,160,20,425,100,23,23,36,10,5.75,22.89,15.77,0.65,24
"6695",8174,190,20,116,76.67,25,22,20,11,18.6,75.56,15.93,0,36
"6696",8175,640,73.33,267,95,15,15,43,8,67.82,30.45,26.18,0.04,27
"6697",8176,110,30,102,53.33,15,15,29,22,35.29,30.59,22.11,0.33,21
"6698",8177,150,50,85,11.76,10,9,30,9,53.13,27.86,20,0,50
"6699",8178,590,30,160,100,24,24,48,7,31.76,67.03,19.57,0.07,46
"6700",8179,500,100,58,11.48,7,5,64,7,80.26,55.77,19.7,0,52
"6701",8180,200,50,13,0,0,0,52,11,27.59,100,0,0,37
"6702",8181,370,40,110,93.75,20,18,49,5,19.64,8.4,21.1,0.24,23
"6703",8182,200,50,833,19.23,21,19,33,2,73.53,74.28,16.67,0.06,42
"6704",8183,200,100,318,100,21,25,57,3,68.85,74.79,19.96,0.41,38
"6705",8185,565.203974829513,90.2699126413182,0,0,0,0,100,0,0,90.9721696133059,0,-0.435980139486599,55
"6706",8187,70,20,87,97.5,22,24,64,3,14.29,8.6,15.83,0.02,48
"6707",8188,90,30,67,94.44,4,5,77,0,4.17,100,15.38,-0.163583174722521,58
"6708",8189,667.605616705648,66.7995556646571,0,100,0,0,0,0,50,-4.99948378554689,16.67,0,43
"6709",8190,230,50,167,0,0,0,35,13,65.52,0,0,0,35
"6710",8191,110,10,4,100,5,6,75,15,4,38.32,19.28,0.18,21
"6711",8192,100,100,12,0,0,0,35,8,75,0,0,0,60
"6712",8193,120,30,6,0,0,0,50,15,25,0,0,0,40
"6713",8194,50,50,33,0,0,0,28,13,75,0,0,0,51
"6714",8195,900,50,134,0,0,0,50,8,66.67,0,0,0,43
"6715",8197,410,43.33,151,87.8,23,24,37,8,33.73,3.74,20.57,2.36,25
"6716",8199,450,83.33,180,74.12,2,2,51,7,87.36,19.78,25.06,0.41,42
"6717",8201,840,41.25,579,100,22,23,39,2,93.1,5.38,25.7,1.07,35
"6718",8202,90,20,173,0,50,50,40,9,100,0,16.67,0,25
"6719",8203,150,50,245,100,24,23,68,0,8.96,8.2,15.89,0,27
"6720",8204,50,50,225,83.33,5,7,20,9,20,31.42,21.82,0,18
"6721",8206,350,50,16,0,0,0,76,5,22.58,0,16.67,0,37
"6722",8207,400,100,155,100,15,15,44,5,55.81,9.57,24.09,0.11,36
"6723",8208,400,100,8144,100,27,69,42,1,74.71,33.46,3.99,0.18,28
"6724",8209,430,45,384,92.19,8,8,44,5,76.47,28.72,12.77,0.08,36
"6725",8211,300,100,203,94.59,20,19,27,4,41.33,39.36,19.52,0.11,46
"6726",8212,357.263742001356,55.5228048952856,238,75,23,23,43,5,75,2.52,26.19,0,16
"6727",8214,100,20,88,0,0,0,51,7,68.75,34.04,0,0,46
"6728",8216,250,50,14,100,17,13,34,7,7.79,10.26,24.48,0.01,20
"6729",8217,100,100,328,70,12,17,57,4,50,26.92,22.22,0.06,25
"6730",8218,50,50,39,94.74,28,28,22,13,25,13.29,17.01,0.02,25
"6731",8219,220,20,264,12.5,0,0,56,3,47.83,100,0,0,22
"6732",8220,353.533397650971,80.5409269929395,61,100,28,28,67,4,0,35.34,16.39,0,27
"6733",8221,40,10,34,0,0,0,56,8,22.22,0,0,0,20
"6734",8222,400,100,132,93.98,3,4,45,4,40.7,31.93,30.75,0.02,40
"6735",8223,300,50,281,79.63,3,2,45,7,66.07,85.85,20.78,0.07,25
"6736",8224,130,10,280,43.48,12,12,49,6,11.11,86.63,16.67,0,26
"6737",8225,516.420236336018,61.4296306940223,0,100,19,25,0,33,25,33.78,24.1266686698971,0.845505629558913,20
"6738",8227,400,100,10,100,26,26,47,14,22.99,13.07,23.47,0.27,28
"6739",8228,400,100,123,65,10,8,48,10,87.8,21.06,25.21,0.02,46
"6740",8229,570,22.5,419,87.69,18,18,54,4,25.71,30.01,24.39,0.79,38
"6741",8230,400,100,120,86.11,8,8,46,5,66.22,10.09,23.99,0.09,35
"6742",8231,100,100,19,90.91,29,25,40,18,58.33,9.52,33.67,0.03,24
"6743",8232,300,100,77,94.94,16,16,50,7,74.42,48.52,22.69,0.09,35
"6744",8233,570,40,891,91.03,19,20,39,7,86.05,8.62,22.83,0.76,28
"6745",8234,300,100,396,98.85,14,16,63,3,74.71,73.27,22.25,0.23,49
