,RECHARGE_VALUE,RECHARGE_AVG,COUNT_HAS_RECHARGE,SOCIAL_NETWORK_MB,INSTAGRAM_MB,PERC_SOCIAL_NETWORK_MB,PERC_WHATSAPP_MB,PERC_INTERNET_MB,SOCIAL_NETWORK_MB_BY_SESSION,PERC_DAYS_SOCIAL_NETWORK_OTT,PERC_DAYS_MADE_CALLS_OTT,P1_SOCIAL_NETWORK_MB,P1_PERC_WHATSAPP_SESSIONS,P1_PERC_INTERNET_SESSIONS,P1_SOCIAL_NETWORK_MB_BY_SESSION,P2_MADE_CALLS,P2_MADE_CALLS_DURATION,P2_PERC_RECEIVED_CALLS_DURATION,P3_MADE_CALLS_DURATION,P3_SOCIAL_NETWORK_MB_BY_SESSION,P3_PERC_DAYS_MADE_CALLS_OTT,P4_INSTAGRAM_MB,P4_WHATSAPP_MB_BY_SESSION,P4_PERC_DAYS_MADE_CALLS_OTT,PERC_SOCIAL_NETWORK_SESSIONS_IN_P1,PERC_P1_INTERNET_MB_BY_TOTAL,PERC_RECEIVED_CALLS_DURATION_IN_P2,PERC_MADE_CALLS_IN_P2,PERC_P2_MADE_CALLS_BY_TOTAL,PERC_P2_MADE_CALLS_DURATION_BY_TOTAL,PERC_INSTAGRAM_MB_IN_P3,PERC_WHATSAPP_MB_IN_P4,PERC_RECEIVED_CALLS_DURATION_IN_P4,PERC_P4_WHATSAPP_SESSIONS_BY_TOTAL,PERC_P4_RECEIVED_CALLS_DURATION_BY_TOTAL,WEEKEND_HOLYDAY_INTERNET_MB,WEEKEND_HOLYDAY_WHATSAPP_MB_BY_SESSION,WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION,DEVICE_CAPABILITY_2G,AGE
10669,120.0,40.0,2.0,0.97,0.0,1.33,18.6,80.07,0.01,93.1,3.45,0.03,18.46,16.92,0.0,1.0,34.0,10.53,1.0,0.02,0.0,0.0,0.29,0.0,14.0,0.0,24.0,100.0,14.0,57.0,0.0,62.0,35.0,7.0,10.0,55.06,0.12,0.14,0,20
10670,400.0,100.0,3.0,2012.42,0.1,64.62,3.35,31.98,1.82,100.0,97.7,117.06,22.0,22.0,0.62,1343.0,361.0,35.99,218.0,2.81,66.67,0.05,0.17,59.77,17.0,3.0,44.0,71.0,50.0,30.0,50.0,46.0,17.0,7.0,7.0,317.06,0.09,0.03,0,48
10671,718.3,359.15,2.0,1217.13,499.83,45.16,1.37,34.93,4.99,89.58,22.92,24.37,15.41,32.33,0.53,8.0,33.0,43.1,7.0,3.92,15.0,112.37,0.06,5.56,19.0,2.0,52.0,40.0,13.0,32.0,18.0,9.0,12.0,4.0,6.0,783.02,0.2,0.12,0,33
10672,580.0,58.0,3.0,2509.29,0.0,66.37,2.27,31.32,3.3,100.0,97.7,192.71,22.02,21.49,2.19,1423.0,625.0,36.48,433.0,3.31,83.13,0.0,0.17,79.07,12.0,3.0,50.0,40.0,28.0,31.0,0.0,46.0,19.0,8.0,7.0,433.19,0.16,0.15,0,23
10673,650.0,50.0,3.0,6339.63,0.04,79.79,5.08,15.14,6.42,100.0,56.32,247.28,17.74,27.03,1.92,258.0,546.0,18.14,225.0,3.73,33.33,0.04,0.81,11.49,13.0,0.0,49.0,33.0,26.0,44.0,0.0,35.0,19.0,4.0,4.0,483.09,0.58,0.79,0,18
10674,260.0,43.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,83.67,0.0,16.67,16.67,0.0,99.0,55.0,62.07,133.0,0.0,75.68,0.0,0.0,68.42,50.0,0.0,22.0,26.0,12.0,7.0,0.0,0.0,32.0,0.0,16.0,0.0,0.0,0.0,0,48
10675,300.0,60.0,3.0,751.31,0.0,85.09,0.08,14.84,5.11,44.78,74.63,60.41,17.72,21.52,3.36,142.0,204.0,47.83,191.0,3.44,54.35,0.0,0.01,62.96,12.0,3.0,41.0,22.0,14.0,19.0,0.0,47.0,22.0,7.0,10.0,64.92,0.01,0.01,0,42
10676,450.0,50.0,3.0,4665.17,163.79,75.57,6.68,15.1,7.0,100.0,15.29,333.99,19.83,26.21,2.46,20.0,5.0,88.64,45.0,6.06,3.57,116.35,0.82,3.57,20.0,2.0,30.0,62.0,14.0,3.0,6.0,37.0,32.0,6.0,21.0,392.84,1.08,0.89,0,21
10677,200.0,100.0,2.0,1127.81,0.0,80.65,1.86,17.48,5.37,56.25,72.92,208.14,21.71,22.37,6.12,143.0,240.0,20.0,315.0,2.84,52.78,0.0,0.28,22.73,16.0,2.0,42.0,45.0,33.0,26.0,0.0,50.0,15.0,5.0,2.0,65.25,0.19,0.32,0,53
10678,80.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.91,0.0,0.0,0.0,0.0,11.0,147.0,25.0,154.0,0.0,54.55,0.0,0.0,62.5,0.0,0.0,48.0,35.0,15.0,30.0,0.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,1,35
10679,100.0,50.0,1.0,1.56,0.0,10.6,9.62,79.78,0.11,31.58,52.63,0.0,0.0,0.0,0.0,36.0,223.0,30.75,65.0,0.0,42.86,0.0,0.0,20.0,0.0,0.0,56.0,42.0,23.0,39.0,0.0,0.0,22.0,0.0,7.0,0.0,0.0,0.0,0,38
10680,180.0,25.71,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,67.0,35.0,37.5,44.0,0.0,9.09,0.0,0.0,83.33,0.0,0.0,29.0,68.0,45.0,20.0,0.0,0.0,35.0,0.0,14.0,0.0,0.0,0.0,1,50
10681,,,,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,16.67,16.67,0.0,0.0,19.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,60.0,0.0,0.0,13.0,0.0,0.0,20.0,4.0,1.0,0.0,0.0,0.0,1,40
10683,1000.0,125.0,3.0,9195.68,10.36,74.57,7.49,17.79,10.82,100.0,41.38,1254.11,21.86,23.98,8.04,215.0,142.0,34.56,226.0,10.4,23.53,0.0,0.92,13.25,18.0,3.0,36.0,60.0,40.0,21.0,89.0,19.0,20.0,5.0,6.0,558.93,1.02,0.78,0,34
10684,,,,0.0,0.0,0.0,11.54,88.46,0.0,100.0,10.17,0.0,16.39,19.67,0.0,13.0,28.0,30.0,72.0,0.0,7.5,0.0,0.01,9.76,24.0,14.0,25.0,6.0,5.0,8.0,0.0,18.0,46.0,5.0,6.0,4.91,0.0,0.0,0,25
10686,840.0,49.41,3.0,8084.69,0.0,70.26,20.25,9.49,9.72,100.0,97.7,644.15,26.91,21.59,3.11,263.0,229.0,34.38,122.0,11.94,70.11,0.0,3.36,74.71,25.0,1.0,29.0,24.0,11.0,25.0,0.0,36.0,32.0,7.0,14.0,488.55,1.4,1.1,0,32
10687,400.0,50.0,3.0,90.76,0.0,21.89,0.0,78.11,0.65,68.06,48.61,4.03,13.04,23.91,0.37,82.0,136.0,19.53,18.0,0.37,35.48,0.0,0.0,42.22,8.0,2.0,52.0,30.0,19.0,45.0,0.0,0.0,23.0,5.0,5.0,90.98,0.0,0.0,0,58
10688,490.0,44.55,3.0,69.06,0.0,8.98,19.85,71.17,0.12,98.85,48.28,4.62,22.22,23.72,0.06,205.0,123.0,30.11,355.0,0.11,23.29,0.0,0.19,21.92,13.0,8.0,35.0,57.0,37.0,18.0,0.0,26.0,21.0,8.0,5.0,120.68,0.44,0.09,0,31
10689,60.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,9.0,10.0,47.37,16.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,23.0,53.0,36.0,13.0,0.0,0.0,38.0,0.0,19.0,0.0,0.0,0.0,1,63
10690,200.0,100.0,2.0,106.79,0.0,63.17,0.73,36.11,3.14,17.5,82.5,0.0,0.0,0.0,0.0,177.0,179.0,20.09,273.0,0.21,61.9,0.0,0.06,95.24,0.0,0.0,21.0,20.0,18.0,8.0,0.0,28.0,39.0,4.0,3.0,48.85,0.02,0.06,0,24
10691,850.0,85.0,3.0,3882.0,0.0,70.62,2.65,26.73,5.36,98.85,78.16,473.45,21.85,23.93,2.89,661.0,950.0,10.29,580.0,6.62,39.53,0.0,0.2,25.0,23.0,4.0,44.0,49.0,40.0,43.0,0.0,22.0,17.0,5.0,2.0,358.53,0.22,0.16,0,40
10692,400.0,100.0,2.0,4140.51,265.16,72.45,2.19,20.73,7.72,97.44,32.05,941.62,21.93,19.88,8.56,17.0,44.0,44.3,196.0,4.18,11.29,116.5,0.36,20.27,21.0,6.0,18.0,6.0,4.0,5.0,39.0,46.0,46.0,7.0,10.0,239.71,0.34,0.15,0,19
10693,700.0,100.0,3.0,1363.07,0.01,43.47,7.02,49.51,2.31,100.0,51.72,54.37,17.22,27.81,0.47,98.0,122.0,39.3,286.0,2.35,19.54,0.0,0.17,18.57,20.0,1.0,33.0,40.0,23.0,14.0,100.0,10.0,26.0,4.0,7.0,400.04,0.32,0.15,0,37
10694,410.0,31.54,3.0,1.61,0.0,0.41,53.44,46.15,0.0,100.0,0.0,0.29,20.08,24.95,0.0,0.0,25.0,47.92,45.0,0.01,0.0,0.0,0.71,0.0,22.0,7.0,35.0,0.0,0.0,15.0,0.0,58.0,22.0,7.0,8.0,43.59,0.09,0.07,0,37
10695,450.0,90.0,3.0,68.97,0.0,6.13,37.72,56.15,0.03,100.0,54.02,1.5,24.71,21.26,0.02,157.0,196.0,24.32,158.0,0.02,19.77,0.0,0.13,40.24,4.0,6.0,34.0,8.0,7.0,15.0,0.0,25.0,48.0,11.0,7.0,125.58,0.21,0.16,0,30
10696,550.0,50.0,3.0,3704.17,0.01,80.92,4.82,14.24,4.85,100.0,67.82,189.42,19.64,27.79,1.33,126.0,136.0,42.86,81.0,8.6,38.82,0.0,0.12,20.99,19.0,1.0,46.0,43.0,25.0,27.0,0.0,9.0,23.0,5.0,10.0,35.48,0.05,0.03,0,39
10697,500.0,50.0,3.0,774.26,0.0,57.27,1.51,41.22,1.2,100.0,85.06,20.32,18.14,22.21,0.13,352.0,443.0,21.59,397.0,0.78,43.68,0.0,0.04,62.79,25.0,8.0,36.0,19.0,15.0,22.0,0.0,29.0,31.0,6.0,5.0,133.32,0.04,0.02,0,56
10698,420.0,24.71,3.0,8385.16,0.0,93.68,1.41,4.91,11.81,100.0,80.77,685.09,21.2,20.23,4.89,424.0,828.0,12.75,105.0,11.29,46.48,0.0,0.23,56.16,20.0,0.0,54.0,25.0,21.0,60.0,0.0,29.0,18.0,5.0,3.0,64.64,0.33,0.42,0,45
10699,400.0,100.0,3.0,25.67,0.0,3.59,23.39,73.02,0.04,97.7,83.91,1.72,19.36,29.58,0.01,533.0,586.0,44.3,403.0,0.06,45.98,0.0,0.4,33.33,22.0,8.0,54.0,55.0,32.0,26.0,0.0,37.0,16.0,5.0,6.0,141.54,0.21,0.22,0,56
10701,510.0,42.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15,0.0,0.0,0.0,0.0,2.0,28.0,42.86,6.0,0.0,66.67,0.0,0.0,100.0,0.0,0.0,49.0,13.0,6.0,36.0,0.0,0.0,19.0,0.0,10.0,0.0,0.0,0.0,0,24
10702,500.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.05,0.0,0.0,0.0,0.0,1060.0,652.0,31.51,523.0,0.0,81.25,0.0,0.0,84.0,0.0,0.0,39.0,27.0,22.0,26.0,0.0,0.0,26.0,0.0,8.0,0.0,0.0,0.0,1,35
10703,400.0,100.0,3.0,37.89,0.06,2.62,45.08,52.3,0.06,97.67,32.56,3.39,21.71,17.97,0.03,185.0,153.0,26.44,370.0,0.03,18.29,0.0,0.28,5.0,21.0,7.0,31.0,78.0,56.0,21.0,0.0,7.0,11.0,7.0,3.0,95.8,0.65,0.35,0,27
10704,320.0,29.09,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,,,,,5.0,11.0,56.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,70.0,62.0,17.0,28.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,1,65
10705,320.0,80.0,3.0,368.7,1.37,39.96,1.92,57.97,0.6,95.08,81.97,14.09,21.12,23.51,0.24,491.0,864.0,15.29,304.0,0.64,55.0,0.12,0.05,34.48,9.0,3.0,46.0,68.0,39.0,52.0,66.0,26.0,10.0,4.0,2.0,82.09,0.05,0.04,0,25
