,RECHARGE_VALUE,RECHARGE_AVG,MIN_RECHARGE_AVG,INSTAGRAM_MB,P2_MADE_CALLS,P2_PERC_DAYS_SOCIAL_NETWORK_OTT,P4_PERC_WHATSAPP_MB,PERC_INTERNET_SESSIONS_IN_P1,PERC_RECEIVED_CALLS_DURATION_IN_P2,WEEKDAY_PERC_INTERNET_MB,WEEKDAY_P23_INSTAGRAM_MB,WEEKDAY_P23_PERC_WHATSAPP_SESSIONS,WEEKEND_HOLYDAY_P14_PERC_WHATSAPP_MB,WEEKEND_HOLYDAY_P14_PERC_BANK_SESSIONS,WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION,DEVICE_CAPABILITY_2G
5504,50.0,50.0,50.0,0.0,17.0,100.0,2.75,19.0,37.0,14.75,0.0,18.86,1.86,14.89,0.06,0
5505,320.0,80.0,60.0,0.0,187.0,3.77,0.0,12.0,47.0,100.0,0.0,15.63,0.0,0.0,0.0,1
5506,700.0,50.0,50.0,0.0,445.0,94.05,6.82,16.0,32.0,10.21,0.0,23.64,2.94,11.2,0.56,0
5507,350.0,87.5,50.0,0.0,412.0,98.75,3.28,25.0,50.0,18.96,0.0,21.94,1.68,12.82,0.16,0
5508,450.0,37.5,34.0,0.0,251.0,76.6,28.6,19.0,35.0,12.4,0.0,26.02,37.92,9.33,2.63,0
5509,270.0,54.0,50.0,0.0,34.0,93.1,13.62,21.0,36.0,17.23,0.0,24.87,15.96,10.04,1.05,0
5510,360.0,45.0,40.0,0.0,88.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5512,460.0,46.0,40.0,0.0,184.0,95.95,19.66,22.0,47.0,73.95,0.0,25.23,9.9,14.07,0.39,0
5513,100.0,12.5,10.0,0.0,7.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5514,100.0,50.0,50.0,0.0,24.0,95.24,37.83,6.0,57.0,11.44,0.0,21.05,38.48,13.64,3.41,0
5515,40.0,20.0,20.0,0.0,6.0,20.0,0.0,25.0,42.0,51.97,0.0,21.05,0.0,0.0,0.0,0
5516,200.0,50.0,50.0,0.0,102.0,30.43,2.39,14.0,42.0,87.62,0.0,16.05,5.5,11.11,0.11,0
5517,,,,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,16.67,,,,0
5518,550.0,50.0,50.0,0.01,1022.0,25.0,20.06,28.0,48.0,64.39,0.0,15.58,9.18,10.47,0.6,0
5519,220.0,73.33,20.0,0.0,0.0,25.0,33.97,20.0,37.0,22.57,0.0,17.39,34.33,10.0,0.08,0
5520,50.0,50.0,50.0,0.0,7.0,91.67,7.36,11.0,33.0,15.78,0.0,22.93,4.04,11.11,0.67,0
5521,400.0,100.0,100.0,11.07,339.0,100.0,49.33,4.0,58.0,31.98,4.84,23.88,15.74,6.21,0.04,0
5522,400.0,100.0,100.0,0.0,57.0,96.39,27.99,22.0,31.0,63.25,0.0,22.77,36.05,11.6,1.03,0
5523,600.0,66.67,50.0,0.0,100.0,100.0,2.37,22.0,53.0,17.68,0.0,23.3,2.21,10.89,0.14,0
5524,810.0,54.0,50.0,0.0,32.0,98.39,0.8,19.0,48.0,11.8,0.0,22.48,0.39,9.38,0.15,0
5525,500.0,50.0,50.0,0.6,28.0,100.0,16.45,24.0,30.0,15.62,0.03,24.11,20.19,13.24,1.12,0
5526,300.0,100.0,100.0,0.01,1284.0,81.61,7.47,20.0,52.0,27.03,0.0,22.36,12.99,11.05,0.43,0
5527,300.0,50.0,50.0,1.31,69.0,97.65,5.57,18.0,33.0,44.01,0.0,24.32,9.45,9.18,0.27,0
5528,700.0,100.0,100.0,0.0,340.0,86.21,0.0,23.0,48.0,99.04,0.0,12.89,0.0,13.4,0.0,0
5529,50.0,50.0,50.0,0.0,57.0,44.44,7.04,0.0,46.0,68.18,0.0,17.14,7.04,11.11,0.05,0
5530,40.0,20.0,20.0,0.0,0.0,92.86,22.31,2.0,32.0,44.43,0.0,34.24,10.02,9.38,0.04,0
5531,550.0,91.67,66.67,433.91,40.0,100.0,3.23,19.0,40.0,22.18,64.27,22.81,6.49,10.3,0.51,0
5532,300.0,100.0,100.0,0.54,88.0,92.77,23.93,8.0,55.0,18.89,0.01,30.13,22.74,5.29,0.85,0
5533,380.0,54.29,25.0,0.13,383.0,58.21,2.88,18.0,42.0,16.25,0.0,25.17,5.22,8.12,0.62,0
5534,710.0,19.19,13.08,0.0,231.0,100.0,19.67,23.0,41.0,6.87,0.0,29.8,23.3,9.57,0.56,0
5536,,,,0.0,13.0,100.0,1.01,22.0,32.0,11.68,0.0,24.8,0.32,12.5,0.04,0
5537,320.0,21.33,18.0,0.0,91.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5538,300.0,50.0,50.0,0.0,82.0,53.66,9.84,17.0,48.0,53.9,0.0,20.18,11.41,7.69,0.03,0
5542,340.0,21.25,20.0,0.0,25.0,16.67,5.9,15.0,45.0,70.57,0.0,24.72,59.91,10.77,0.89,0
5544,400.0,100.0,100.0,0.0,210.0,7.14,0.0,0.0,52.0,100.0,0.0,15.79,0.0,16.67,0.0,1
5546,200.0,50.0,50.0,0.0,26.0,92.65,0.63,24.0,36.0,17.67,0.0,17.89,0.27,15.28,0.01,0
5547,600.0,100.0,100.0,0.25,378.0,89.23,10.26,4.0,33.0,13.22,0.12,23.41,16.16,10.57,0.96,0
5549,560.0,46.67,42.0,0.0,109.0,96.15,26.51,25.0,23.0,19.79,0.0,22.76,4.28,9.54,0.1,0
5550,500.0,50.0,50.0,0.22,300.0,89.29,2.1,8.0,29.0,27.97,0.0,24.5,0.87,10.71,0.07,0
5551,,,,0.0,5.0,86.21,100.0,15.0,52.0,0.0,0.0,20.26,0.0,16.67,0.0,0
5552,400.0,100.0,100.0,0.0,390.0,48.15,5.51,17.0,40.0,78.39,0.0,20.89,3.07,10.26,0.04,0
5553,300.0,100.0,100.0,0.0,6.0,100.0,36.38,32.0,57.0,56.06,0.0,21.35,30.26,12.03,0.22,0
5554,500.0,83.33,75.0,0.09,93.0,98.65,26.34,25.0,36.0,20.2,0.09,25.65,23.31,12.24,3.49,0
5556,1194.4,108.58,74.03,7.19,51.0,100.0,2.56,24.0,45.0,9.05,3.58,23.21,2.95,10.88,0.16,0
5557,450.0,50.0,50.0,19.11,3.0,95.77,18.12,20.0,15.0,17.78,12.24,23.1,31.18,8.64,1.17,0
5558,400.0,100.0,100.0,0.0,0.0,100.0,21.13,26.0,0.0,65.32,0.0,22.82,30.39,10.14,0.16,0
5559,430.0,71.67,50.0,0.0,232.0,100.0,22.5,18.0,42.0,23.59,0.0,27.98,33.17,10.03,0.62,0
5560,140.0,23.33,20.0,14.0,0.0,95.45,23.44,20.0,33.0,41.01,0.29,33.28,22.82,9.52,0.04,0
5562,400.0,100.0,100.0,0.0,14.0,91.67,0.68,22.0,55.0,8.95,0.0,20.77,0.53,10.53,0.08,0
5563,430.0,71.67,60.0,0.02,1015.0,91.76,0.0,19.0,55.0,99.94,0.0,12.24,0.0,13.4,0.0,0
5564,750.0,50.0,50.0,0.04,179.0,54.55,0.74,9.0,37.0,1.71,0.0,23.64,1.28,9.14,0.43,0
5565,400.0,100.0,100.0,0.03,25.0,100.0,9.12,26.0,31.0,22.94,0.0,21.61,13.81,10.53,0.38,0
5566,930.0,62.0,46.67,0.0,81.0,100.0,0.37,24.0,52.0,5.38,0.0,19.71,0.12,11.49,0.02,0
5568,400.0,100.0,100.0,1.03,252.0,97.7,1.92,17.0,33.0,21.19,0.08,18.9,1.75,11.81,0.08,0
5569,280.0,46.67,45.0,0.0,393.0,88.89,26.17,16.0,55.0,57.75,0.0,24.5,0.67,10.31,0.03,0
5570,520.0,52.0,42.5,0.0,262.0,100.0,42.65,24.0,48.0,39.47,0.0,26.12,29.24,13.02,0.56,0
5571,130.0,21.67,20.0,0.0,26.0,93.33,14.05,8.0,54.0,32.41,0.0,24.72,7.28,13.33,0.02,0
5572,400.0,100.0,100.0,0.0,111.0,77.42,0.0,37.0,62.0,55.08,0.0,19.05,1.21,12.82,0.01,1
5573,40.0,13.33,13.33,0.0,1.0,44.44,0.0,7.0,51.0,100.0,0.0,16.28,0.0,0.0,0.0,1
5574,400.0,100.0,100.0,0.0,610.0,98.85,60.87,24.0,35.0,48.2,0.0,25.83,57.39,10.26,2.13,0
5576,400.0,100.0,100.0,0.0,358.0,59.3,0.83,10.0,54.0,48.83,0.0,21.82,0.93,9.79,0.02,0
5577,,,,0.0,0.0,0.0,0.0,33.0,45.0,0.0,0.0,0.0,0.0,16.67,0.0,1
5578,100.0,50.0,50.0,0.0,33.0,14.81,0.0,0.0,52.0,0.0,0.0,16.67,0.0,16.67,0.0,0
5580,480.0,48.0,45.0,0.0,161.0,90.32,17.86,25.0,17.0,2.59,0.0,24.88,25.09,7.89,5.37,1
5582,,,,0.0,0.0,100.0,0.0,8.0,41.0,0.0,0.0,16.46,0.0,16.67,0.0,1
5583,718.3,179.58,170.73,1.45,272.0,88.46,4.53,6.0,33.0,31.2,0.0,22.33,4.99,9.21,0.49,0
5585,150.0,50.0,50.0,0.0,37.0,77.5,8.13,5.0,50.0,65.05,0.0,18.11,13.85,14.29,0.01,0
5587,350.0,50.0,50.0,0.0,122.0,52.46,0.29,16.0,43.0,88.19,0.0,17.89,1.19,15.52,0.0,0
5589,780.0,37.14,34.55,0.0,10.0,98.67,16.67,30.0,41.0,4.57,0.0,25.11,13.03,7.28,0.49,0
5590,500.0,100.0,100.0,1.03,283.0,100.0,1.54,12.0,49.0,40.66,0.41,27.64,0.6,11.19,0.03,0
5593,820.0,91.11,80.0,0.0,465.0,100.0,22.5,23.0,49.0,51.23,0.0,24.81,11.72,10.77,0.35,0
5595,500.0,100.0,100.0,0.0,37.0,17.95,20.04,0.0,22.0,39.38,0.0,24.03,0.0,0.0,0.0,0
5596,110.0,27.5,20.0,0.0,30.0,100.0,26.91,17.0,16.0,42.34,0.0,18.52,21.83,11.86,0.9,1
5597,20.0,20.0,20.0,0.0,1.0,28.57,79.45,0.0,45.0,19.76,0.0,16.67,0.0,0.0,0.0,0
5598,400.0,66.67,50.0,0.79,61.0,92.65,6.32,20.0,52.0,40.5,0.77,24.17,4.24,9.82,0.07,0
5599,210.0,35.0,30.0,1.76,6.0,96.3,13.53,24.0,53.0,6.49,0.47,24.35,27.93,12.71,2.25,0
5600,150.0,50.0,50.0,0.0,96.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5601,230.0,57.5,40.0,0.0,1.0,74.07,0.34,19.0,43.0,87.32,0.0,11.63,5.01,11.11,0.0,0
5602,290.0,41.43,35.0,0.03,308.0,90.41,8.86,21.0,41.0,17.69,0.01,22.05,4.9,9.97,0.25,0
5603,200.0,66.67,50.0,0.0,13.0,100.0,2.2,22.0,37.0,15.32,0.0,20.2,0.64,13.74,0.04,0
5604,1050.0,31.82,31.67,0.0,366.0,94.25,3.59,15.0,39.0,64.55,0.0,26.27,4.24,9.96,0.04,0
5605,,,,0.0,3.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,,,,0
5606,360.0,60.0,46.67,0.0,110.0,100.0,32.41,28.0,31.0,25.74,0.0,23.5,29.81,9.44,2.64,0
5607,500.0,100.0,100.0,10.41,333.0,90.7,6.16,21.0,56.0,55.22,2.0,22.41,13.51,9.93,0.39,0
5608,400.0,100.0,100.0,10.51,41.0,100.0,2.27,24.0,26.0,24.5,3.84,21.06,1.03,9.12,0.06,0
5609,450.0,25.0,23.0,0.0,60.0,100.0,11.97,22.0,49.0,84.26,0.0,22.96,14.84,13.58,0.04,0
5610,580.0,48.33,46.0,1.36,211.0,66.2,7.94,16.0,36.0,6.74,1.28,19.44,9.58,10.99,0.26,0
5611,200.0,100.0,100.0,0.0,117.0,100.0,11.49,25.0,62.0,67.89,0.0,22.79,28.8,12.01,0.15,0
5613,100.0,100.0,100.0,0.0,42.0,28.57,0.87,24.0,38.0,99.73,0.0,19.23,1.5,12.5,0.0,0
5614,580.0,58.0,50.0,1.57,730.0,98.82,11.71,9.0,34.0,38.4,0.65,26.16,3.48,12.44,0.24,0
5615,540.0,20.77,20.0,0.0,86.0,2.44,0.0,20.0,43.0,100.0,0.0,16.67,0.0,15.38,0.0,0
5616,400.0,100.0,100.0,0.0,117.0,100.0,0.03,19.0,46.0,60.26,0.0,11.28,0.02,12.21,0.0,1
5618,400.0,100.0,100.0,0.0,320.0,96.55,93.72,16.0,31.0,2.34,0.0,31.96,72.22,13.35,0.04,0
5619,200.0,50.0,50.0,0.0,1.0,100.0,81.33,21.0,38.0,22.8,0.0,27.16,89.85,11.39,0.43,0
5620,400.0,100.0,100.0,0.0,815.0,80.23,18.84,5.0,43.0,33.38,0.0,23.49,9.32,10.16,0.05,0
5622,340.0,30.91,26.67,0.0,11.0,7.14,0.0,0.0,44.0,0.0,0.0,16.67,0.0,16.67,0.0,0
5623,100.0,50.0,50.0,0.0,10.0,80.65,0.83,14.0,43.0,25.83,0.0,25.69,2.53,12.31,0.09,0
5624,300.0,100.0,100.0,31.68,61.0,98.33,2.64,19.0,22.0,37.87,26.55,23.2,4.33,10.81,0.1,0
5625,800.0,133.33,100.0,2.21,362.0,98.85,4.35,27.0,36.0,71.34,2.21,23.09,0.81,11.39,0.01,0
5628,440.0,44.0,35.0,34.18,52.0,90.2,6.78,20.0,26.0,14.73,12.9,21.55,6.89,10.95,0.93,0
5630,530.0,48.18,45.0,0.0,268.0,100.0,2.2,22.0,62.0,4.65,0.0,23.28,1.76,10.18,0.18,0
5631,600.0,150.0,100.0,281.07,92.0,98.75,24.01,18.0,31.0,58.26,150.08,23.59,14.95,10.43,0.54,0
5632,250.0,50.0,50.0,0.0,431.0,68.29,16.83,7.0,29.0,66.05,0.0,22.8,8.86,9.35,0.13,0
5633,610.0,40.67,40.0,0.15,1679.0,96.55,4.02,21.0,49.0,6.5,0.08,24.75,7.34,10.44,0.91,0
5635,350.0,58.33,50.0,0.0,107.0,98.36,2.69,25.0,46.0,22.75,0.0,22.13,1.81,11.59,0.11,0
5636,150.0,75.0,50.0,0.0,571.0,80.0,8.82,17.0,37.0,25.05,0.0,24.53,12.17,5.74,0.31,0
5637,80.0,40.0,30.0,3.75,1.0,87.5,67.13,10.0,50.0,19.98,3.74,23.98,31.63,12.5,0.11,0
5638,70.0,23.33,20.0,0.0,5.0,11.11,0.0,75.0,43.0,98.6,0.0,16.67,0.0,0.0,0.0,0
5639,350.0,87.5,75.0,4.52,52.0,66.04,2.93,18.0,43.0,27.4,4.52,22.34,1.2,12.86,0.03,0
5640,,,,0.0,0.0,100.0,0.0,25.0,75.0,0.0,0.0,16.67,0.0,16.67,0.0,0
5641,30.0,30.0,30.0,0.0,0.0,100.0,0.0,0.0,33.0,0.0,0.0,16.67,0.0,0.0,0.0,1
5642,600.0,54.55,50.0,0.0,116.0,82.43,84.35,23.0,35.0,6.16,0.0,26.75,91.67,10.84,0.23,0
5643,50.0,50.0,50.0,0.0,41.0,28.13,99.97,18.0,45.0,0.01,0.0,24.14,99.96,13.51,0.23,1
5644,250.0,50.0,50.0,0.0,193.0,100.0,0.0,27.0,45.0,100.0,0.0,13.85,0.0,12.68,0.0,0
5645,400.0,100.0,100.0,0.0,188.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5646,350.0,175.0,150.0,33.81,96.0,68.09,1.82,12.0,64.0,40.26,15.89,21.38,17.33,9.7,0.38,0
5647,100.0,100.0,100.0,0.0,144.0,54.76,5.49,23.0,35.0,14.35,0.0,26.0,0.84,12.12,0.12,0
5649,500.0,100.0,100.0,0.0,999.0,20.48,0.0,24.0,43.0,74.11,0.0,16.19,0.0,16.67,0.0,1
5650,200.0,100.0,100.0,0.0,19.0,82.86,0.0,72.0,60.0,0.0,0.0,13.01,0.0,14.29,0.0,1
5651,600.0,50.0,50.0,1.67,196.0,91.95,10.67,11.0,56.0,16.93,1.58,18.49,16.96,9.84,1.03,0
5652,300.0,75.0,75.0,0.04,324.0,30.77,1.75,28.0,54.0,55.14,0.0,24.81,28.72,13.89,0.06,1
5653,400.0,100.0,100.0,0.05,610.0,94.19,12.09,13.0,51.0,50.15,0.03,30.83,9.64,8.66,0.46,0
5654,690.0,28.75,28.0,1.18,536.0,100.0,20.79,18.0,51.0,11.83,0.96,28.75,15.49,10.45,0.96,0
5655,400.0,100.0,100.0,0.57,210.0,98.57,55.7,33.0,12.0,37.39,0.0,19.52,23.86,4.2,0.13,0
5656,260.0,37.14,32.0,0.0,92.0,86.96,14.72,16.0,36.0,64.73,0.0,25.34,8.75,12.07,0.06,0
5657,780.0,41.05,38.0,0.05,111.0,96.77,1.79,22.0,29.0,12.67,0.02,23.34,1.26,10.26,0.3,0
5658,550.0,183.33,150.0,1.53,1063.0,91.46,29.89,3.0,53.0,14.25,0.61,24.8,15.76,10.73,0.45,0
5659,100.0,50.0,50.0,0.0,71.0,100.0,1.2,6.0,48.0,6.73,0.0,21.11,1.85,6.42,0.01,0
5660,380.0,76.0,65.0,0.0,236.0,97.26,46.83,4.0,43.0,41.33,0.0,26.51,34.97,8.21,1.24,0
5661,220.0,22.0,15.0,0.0,0.0,96.97,36.85,7.0,49.0,64.21,0.0,26.44,9.53,12.82,0.02,0
5662,150.0,75.0,50.0,0.0,1.0,93.75,0.65,2.0,40.0,50.24,0.0,22.98,0.0,0.0,0.0,0
5663,80.0,26.67,25.0,0.0,0.0,100.0,4.89,0.0,16.0,36.95,0.0,19.05,,,,0
5665,200.0,50.0,50.0,0.0,40.0,77.78,1.2,18.0,52.0,24.11,0.0,24.64,5.21,9.86,0.02,0
5666,400.0,100.0,100.0,0.0,134.0,2.33,0.0,38.0,37.0,100.0,0.0,16.67,0.0,16.67,0.0,0
5667,90.0,30.0,20.0,0.0,5.0,33.33,0.0,0.0,56.0,100.0,0.0,15.0,0.0,0.0,0.0,1
5668,180.0,36.0,20.0,21.13,16.0,100.0,1.44,17.0,34.0,10.68,20.88,17.75,3.96,14.29,0.01,0
5670,840.0,32.31,30.0,0.0,540.0,100.0,13.6,20.0,38.0,47.7,0.0,26.96,27.11,11.76,0.34,0
5671,400.0,100.0,100.0,0.0,23.0,94.52,26.95,17.0,36.0,77.78,0.0,35.39,40.69,10.28,0.02,0
5672,160.0,40.0,30.0,0.0,31.0,11.11,0.0,0.0,34.0,0.0,0.0,16.67,0.0,16.67,0.0,0
5673,100.0,100.0,100.0,0.0,102.0,93.94,13.91,20.0,64.0,16.55,0.0,19.95,10.9,5.96,0.02,0
5674,240.0,20.0,20.0,0.0,2.0,98.04,82.95,13.0,35.0,24.02,0.0,35.3,80.9,3.48,0.2,0
5675,70.0,35.0,20.0,0.0,11.0,96.43,0.85,9.0,56.0,89.42,0.0,17.0,5.37,14.58,0.0,0
5676,420.0,84.0,73.33,14.87,285.0,84.29,2.11,10.0,50.0,35.11,7.18,23.35,3.64,11.05,0.28,0
5677,200.0,100.0,100.0,0.0,13.0,100.0,2.36,18.0,39.0,87.6,0.0,22.11,1.05,8.97,0.02,0
5678,330.0,47.14,43.33,0.0,63.0,65.71,40.46,9.0,44.0,60.38,0.0,33.26,65.0,7.48,0.08,0
5680,700.0,100.0,100.0,0.53,424.0,98.84,5.76,21.0,44.0,12.52,0.53,22.78,2.25,10.63,0.16,0
5681,220.0,27.5,20.0,0.0,20.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5682,270.0,30.0,27.5,0.0,28.0,93.33,25.64,9.0,41.0,64.03,0.0,24.55,12.12,11.59,0.16,0
5683,550.0,50.0,50.0,0.0,294.0,100.0,10.89,20.0,61.0,26.35,0.0,27.94,17.99,10.67,0.42,0
5685,100.0,100.0,100.0,0.0,130.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5686,470.0,78.33,56.67,0.0,1780.0,8.96,0.0,13.0,37.0,98.83,0.0,12.35,0.0,13.33,0.0,0
5687,430.0,43.0,36.67,1.51,334.0,90.48,27.03,5.0,48.0,43.43,0.52,22.77,42.91,11.02,0.42,0
5688,530.0,88.33,76.67,79.43,363.0,100.0,13.23,24.0,42.0,12.7,34.61,20.43,13.22,12.81,0.57,0
5689,1300.0,260.0,200.0,0.0,28.0,100.0,40.27,27.0,49.0,44.01,0.0,24.4,5.36,13.0,0.05,0
5690,180.0,30.0,20.0,0.0,22.0,100.0,6.76,19.0,36.0,9.87,0.0,19.72,6.48,12.87,0.21,0
5692,400.0,100.0,100.0,1.28,76.0,96.0,10.89,23.0,49.0,9.24,0.91,23.51,7.76,8.99,0.18,0
5693,400.0,100.0,100.0,0.01,303.0,97.59,11.2,18.0,37.0,28.51,0.0,24.26,10.88,7.98,0.45,0
5694,520.0,130.0,85.0,0.35,482.0,91.67,41.58,17.0,37.0,35.08,0.14,25.39,28.69,10.26,0.07,0
5696,600.0,150.0,100.0,0.74,106.0,93.42,3.01,28.0,35.0,42.07,0.01,22.78,1.15,11.35,0.08,0
5697,800.0,53.33,50.0,0.01,65.0,100.0,14.1,23.0,33.0,3.85,0.01,23.15,16.44,10.7,2.43,0
5698,450.0,90.0,75.0,0.0,108.0,88.16,0.34,27.0,52.0,1.71,0.0,19.63,0.09,11.25,0.01,0
5699,350.0,50.0,50.0,0.1,401.0,100.0,7.01,21.0,33.0,33.21,0.0,22.93,2.13,11.44,0.05,0
5700,590.0,65.56,58.0,0.0,149.0,84.42,0.56,30.0,55.0,10.43,0.0,26.44,0.52,11.05,0.05,0
5701,450.0,90.0,83.33,0.0,815.0,75.31,0.11,28.0,39.0,22.41,0.0,18.15,0.03,11.79,0.0,0
5702,450.0,50.0,50.0,0.03,30.0,88.1,0.58,26.0,20.0,21.09,0.03,18.53,0.43,10.07,0.04,0
5703,140.0,23.33,20.0,0.0,3.0,96.55,55.67,5.0,33.0,40.09,0.0,22.41,59.24,12.56,0.13,0
5704,130.0,26.0,20.0,0.0,0.0,66.67,23.19,36.0,6.0,74.74,0.0,21.31,24.06,6.8,0.15,0
5706,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0
5707,300.0,100.0,100.0,0.0,12.0,35.0,0.18,0.0,61.0,45.69,0.0,20.41,0.01,6.9,0.0,0
5708,440.0,31.43,28.0,0.0,295.0,100.0,76.74,20.0,56.0,21.99,0.0,23.55,44.52,11.64,0.96,0
5709,200.0,15.38,10.0,0.0,136.0,2.0,0.0,17.0,38.0,0.0,0.0,16.67,0.0,16.67,0.0,0
5710,370.0,74.0,73.33,0.0,81.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5712,200.0,100.0,100.0,1.77,62.0,98.44,14.3,18.0,65.0,37.47,1.53,22.78,22.44,10.74,0.26,0
5713,410.0,31.54,26.67,0.02,239.0,92.75,24.08,18.0,35.0,6.7,0.02,40.95,11.83,7.91,0.16,0
5715,450.0,90.0,83.33,0.02,171.0,36.0,0.0,9.0,37.0,24.86,0.02,14.13,0.0,10.64,0.0,0
5716,540.0,45.0,42.5,0.0,9.0,95.16,5.9,9.0,41.0,10.26,0.0,22.35,2.49,9.39,0.59,0
5717,550.0,91.67,75.0,0.14,252.0,97.56,2.75,21.0,42.0,15.99,0.14,22.88,1.2,10.61,0.1,0
5718,1510.0,47.19,44.55,91.38,64.0,100.0,13.86,16.0,33.0,5.31,14.08,26.0,23.55,6.64,2.79,0
5719,,,,0.0,0.0,100.0,0.21,25.0,57.0,86.61,0.0,15.91,0.0,17.52,0.0,0
5720,650.0,50.0,50.0,0.0,113.0,98.73,3.5,21.0,42.0,7.75,0.0,21.57,4.54,11.08,0.65,0
5721,170.0,24.29,20.0,0.02,13.0,60.0,0.0,0.0,32.0,94.52,0.02,19.15,0.0,0.0,0.0,0
5722,300.0,75.0,50.0,0.0,204.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5723,430.0,53.75,32.5,0.0,141.0,61.67,1.18,28.0,37.0,47.98,0.0,18.53,1.71,10.27,0.05,0
5724,,,,0.0,0.0,0.0,,0.0,100.0,0.0,0.0,0.0,,,,0
5725,720.0,45.0,40.0,0.0,74.0,97.59,0.37,11.0,52.0,12.3,0.0,22.75,0.39,11.67,0.03,0
5727,160.0,26.67,20.0,0.0,32.0,10.0,0.0,0.0,69.0,87.92,0.0,13.04,0.0,0.0,0.0,0
5729,320.0,29.09,26.67,0.0,17.0,100.0,25.38,21.0,33.0,65.58,0.0,26.34,25.62,12.28,0.12,0
5731,450.0,56.25,50.0,0.0,614.0,98.81,1.19,14.0,57.0,16.96,0.0,24.27,1.69,9.98,0.27,0
5732,510.0,25.5,20.0,0.0,64.0,12.9,8.8,0.0,38.0,49.21,0.0,27.27,0.0,0.0,0.0,0
5733,300.0,60.0,50.0,35.7,249.0,93.15,3.31,22.0,43.0,32.35,1.91,20.86,23.32,11.48,0.34,0
5734,50.0,50.0,50.0,0.0,8.0,46.67,24.54,8.0,33.0,62.3,0.0,22.68,4.39,8.82,0.03,0
5736,140.0,20.0,20.0,0.0,10.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5737,400.0,80.0,75.0,0.0,72.0,100.0,19.81,21.0,43.0,39.79,0.0,21.67,11.29,11.08,0.17,0
5738,70.0,35.0,20.0,0.81,12.0,72.22,8.94,16.0,46.0,13.83,0.47,18.18,13.36,10.0,1.35,0
5739,,,,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5742,600.0,50.0,50.0,0.0,112.0,26.32,1.32,20.0,48.0,98.46,0.0,22.96,2.19,14.55,0.0,0
5743,450.0,50.0,50.0,0.04,799.0,82.28,17.29,25.0,43.0,83.93,0.02,23.35,12.49,12.65,0.08,0
5744,600.0,50.0,50.0,0.0,741.0,90.8,2.93,3.0,45.0,23.33,0.0,23.97,7.29,6.05,0.05,0
5745,,,,0.0,0.0,66.67,0.0,33.0,38.0,0.0,0.0,0.0,0.0,16.67,0.0,1
5747,120.0,30.0,20.0,0.03,1.0,98.11,58.47,14.0,25.0,45.9,0.0,24.72,54.26,12.42,0.5,0
5748,150.0,25.0,20.0,0.0,4.0,76.92,2.02,16.0,34.0,98.0,0.0,23.66,99.88,14.63,0.01,0
5749,400.0,50.0,50.0,0.04,336.0,90.8,0.93,19.0,46.0,4.74,0.0,21.37,0.93,9.48,0.06,0
5750,450.0,150.0,150.0,16.04,62.0,100.0,21.08,22.0,30.0,41.27,1.25,25.54,24.14,10.76,1.15,0
5751,800.0,100.0,100.0,270.3,129.0,93.67,8.1,19.0,38.0,25.55,152.14,22.55,9.64,11.11,0.9,0
5752,50.0,50.0,50.0,0.0,18.0,98.81,53.9,13.0,38.0,28.05,0.0,19.87,58.59,15.27,0.39,0
5753,470.0,39.17,38.0,1.61,128.0,91.67,0.45,26.0,40.0,14.97,0.01,22.51,0.3,10.48,0.06,0
5754,240.0,24.0,22.5,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5755,400.0,100.0,100.0,0.93,164.0,97.62,4.5,24.0,38.0,73.43,0.29,20.02,4.09,10.74,0.02,0
5758,230.0,32.86,20.0,0.0,19.0,94.12,0.8,20.0,44.0,90.91,0.0,17.92,0.3,12.85,0.0,0
5759,120.0,60.0,20.0,0.0,0.0,66.67,,17.0,90.0,0.0,0.0,16.67,0.0,16.67,0.0,1
5760,550.0,91.67,87.5,0.0,143.0,90.0,3.04,26.0,45.0,18.82,0.0,24.26,1.59,13.48,0.06,0
5761,320.0,26.67,24.0,0.0,1.0,12.5,0.0,0.0,49.0,100.0,0.0,14.29,0.0,0.0,0.0,1
