,RECHARGE_VALUE,RECHARGE_AVG,MIN_RECHARGE_AVG,INSTAGRAM_MB,P2_MADE_CALLS,P2_PERC_DAYS_SOCIAL_NETWORK_OTT,P4_PERC_WHATSAPP_MB,PERC_INTERNET_SESSIONS_IN_P1,PERC_RECEIVED_CALLS_DURATION_IN_P2,WEEKDAY_PERC_INTERNET_MB,WEEKDAY_P23_INSTAGRAM_MB,WEEKDAY_P23_PERC_WHATSAPP_SESSIONS,WEEKEND_HOLYDAY_P14_PERC_WHATSAPP_MB,WEEKEND_HOLYDAY_P14_PERC_BANK_SESSIONS,WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION,DEVICE_CAPABILITY_2G
4511,400.0,100.0,100.0,0.0,374.0,4.35,0.0,0.0,59.0,98.5,0.0,11.94,0.0,0.0,0.0,0
4512,300.0,100.0,100.0,0.0,49.0,67.8,28.42,15.0,41.0,68.22,0.0,22.89,14.25,11.76,0.08,0
4513,430.0,43.0,40.0,0.85,117.0,74.51,9.71,6.0,48.0,67.77,0.55,20.6,3.93,10.81,0.02,0
4514,360.0,40.0,30.0,0.0,130.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4518,310.0,77.5,10.0,0.0,163.0,25.64,6.72,12.0,50.0,21.91,0.0,23.31,2.1,10.81,0.23,0
4519,350.0,58.33,50.0,0.0,138.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4521,420.0,70.0,40.0,0.0,3193.0,98.63,30.43,6.0,42.0,62.07,0.0,24.39,43.38,11.51,0.29,0
4522,130.0,26.0,20.0,0.0,0.0,98.68,2.32,25.0,37.0,63.69,0.0,20.25,8.98,14.49,0.0,0
4523,400.0,100.0,100.0,0.0,407.0,76.12,7.44,4.0,27.0,18.18,0.0,26.15,3.72,9.04,0.19,0
4524,550.0,50.0,50.0,0.0,496.0,100.0,7.04,24.0,36.0,5.9,0.0,22.68,4.3,11.29,0.3,0
4525,470.0,29.38,25.0,2.76,826.0,95.29,0.0,20.0,36.0,18.76,0.0,13.8,0.0,14.02,0.0,1
4526,300.0,75.0,50.0,0.0,28.0,100.0,8.55,16.0,43.0,91.18,0.0,26.7,5.78,12.66,0.02,0
